,user_id,Experience_score,Engagement_score,Satisfactory_score
5943,33660609469.0,0.39595450850380187,0.9101707634952867,0.6530626359995443
6038,33660282693.0,0.08743160355951818,0.9451002842813564,0.5162659439204373
6163,33777030152.0,0.6688637889411395,0.97308756714316,0.8209756780421498
6424,33663073667.0,0.33210390100037346,0.9290144781505455,0.6305591895754594
6450,33612825598.0,0.20404864649760435,0.24508039994582156,0.22456452322171294
6499,33663932687.0,0.15312037241537113,0.9156516051334802,0.5343859887744257
6501,33632911999.0,0.0996675905822233,0.9555486922323729,0.5276081414072982
6593,33664121409.0,0.7193924948181059,0.8767276213729889,0.7980600580955474
6611,33685123566.0,0.17969893419827754,0.9570278033102098,0.5683633687542436
6712,33625702186.0,0.6579446094774393,0.9135810918762367,0.7857628506768379
6717,33659134440.0,0.381323034281839,0.9403463555643269,0.660834694923083
6791,33626489584.0,0.49816257454488944,0.937653552766699,0.7179080636557942
6795,33666313431.0,0.45148721226640065,0.8758159899042434,0.663651601085322
6825,33662424465.0,0.19400303119283646,0.9656618814352966,0.5798324563140665
6872,33684692476.0,0.6813434294939784,0.9713996635409652,0.8263715465174718
7147,33663697449.0,0.32140965586610903,0.8720599955766016,0.5967348257213554
7355,33664792636.0,0.07329436185246374,0.9892122852802363,0.53125332356635
7391,33614382372.0,0.20306592362102238,0.9515240989718061,0.5772950112964143
7422,33761067396.0,0.62597151797652,0.9242690283159137,0.7751202731462168
7491,33659488750.0,0.6185212662857158,0.8846976211864888,0.7516094437361023
7492,33635486107.0,0.5358457796544887,0.9166201662527534,0.726232972953621
7497,33664727073.0,0.7635108246393043,0.9640707279585874,0.8637907762989459
7556,33663784962.0,0.38437393525129115,0.9162015213418936,0.6502877282965924
7600,33698266236.0,0.3116146203749013,0.9496261915746177,0.6306204059747595
7662,33668377807.0,0.1313654702879885,0.9182308514468267,0.5247981608674076
7673,33699448731.0,0.10962979216755397,0.9657227477115955,0.5376762699395747
7691,33760312610.0,0.831027824869542,0.8838733525077482,0.8574505886886451
7710,33644039633.0,0.12245667401172655,0.9342954603712549,0.5283760671914908
7816,33660025676.0,0.269210074234423,0.9495365576552589,0.6093733159448409
7887,33604181747.0,0.43685548620606296,0.9149467978784676,0.6759011420422653
7899,33681727925.0,0.34533491698727636,0.24187280733917751,0.2936038621632269
7943,33667489914.0,0.5052277785838983,0.8885944255552085,0.6969111020695534
7996,33637766270.0,0.4381657642270409,0.8834709083218316,0.6608183362744362
8009,33676197582.0,0.3488485701814563,0.180569858235778,0.26470921420861715
8031,33644977203.0,0.3784840901902058,0.915310784267524,0.646897437228865
